target_x,target_y,initial_velocity,launch_angle
2359.6621697924747,658.1776706912433,190.4649968701967,38.81482519381552
2504.8721494720116,617.6744294179362,190.4649968701967,38.81482519381552
3230.9220478696966,274.27738383989663,190.4649968701967,38.81482519381552
1488.4022917152533,703.9639434349821,190.4649968701967,38.81482519381552
338.64719984852934,91.28301723633899,65.97455541860589,54.68565379270152
195.6160843845542,147.08531937166222,65.97455541860589,54.68565379270152
258.71804708924907,139.4759145350273,65.97455541860589,54.68565379270152
372.3015799576999,58.10004398795422,65.97455541860589,54.68565379270152
175.1758433829309,310.21384394562097,81.24319734767832,73.85738604071203
148.08679543711685,300.8077237532129,81.24319734767832,73.85738604071203
131.83336666962842,288.3916450992341,81.24319734767832,73.85738604071203
254.63705069065216,256.41083644504636,81.24319734767832,73.85738604071203
1731.207379162478,160.70417109149935,139.23475947895423,40.0191597302041
1408.4399016915074,326.8559412030497,139.23475947895423,40.0191597302041
1652.9607179573943,209.23732599740674,139.23475947895423,40.0191597302041
625.97328964067,356.57011767605417,139.23475947895423,40.0191597302041
275.5503511670242,132.28205167493812,78.13007657735326,40.973695822018584
188.86035304706152,113.74364770169856,78.13007657735326,40.973695822018584
117.65071173423505,82.66614832964977,78.13007657735326,40.973695822018584
226.0132093841884,124.28297357569771,78.13007657735326,40.973695822018584
38.40727559827097,100.70666403646209,45.41117634693448,78.62235124670171
31.86986698579932,96.29883436434946,45.41117634693448,78.62235124670171
11.031877033545918,47.384168975210734,45.41117634693448,78.62235124670171
17.160697607738093,67.28062235627468,45.41117634693448,78.62235124670171
554.379060441523,13.522070512608721,128.92443687456074,10.987581607355345
481.09906969350567,22.530567143767342,128.92443687456074,10.987581607355345
140.18780838751158,21.20011974620492,128.92443687456074,10.987581607355345
411.00516549974986,28.069953271001523,128.92443687456074,10.987581607355345
502.2110263899718,62.653889982040624,104.76254533486083,20.90413707625474
644.6290786498146,33.40581688594676,104.76254533486083,20.90413707625474
468.48043506527216,66.53828729436003,104.76254533486083,20.90413707625474
577.1678960004153,49.849765508098926,104.76254533486083,20.90413707625474
1935.9887201219365,396.19630621789156,161.43872883373612,62.721911797784415
1413.9243461564706,950.7439450975089,161.43872883373612,62.721911797784415
1359.5426405350677,980.4215710314331,161.43872883373612,62.721911797784415
598.1987618354298,839.4528478452922,161.43872883373612,62.721911797784415
113.20468863783682,332.4758382712641,124.96291571876917,73.51104376996597
148.036900526402,414.6708431973748,124.96291571876917,73.51104376996597
191.57716538710847,504.10965251445566,124.96291571876917,73.51104376996597
548.6073372449015,679.8827835524871,124.96291571876917,73.51104376996597
17.195572633693583,17.452696773836507,21.060991547601496,61.8657835183896
32.690484237681204,7.987609899136807,21.060991547601496,61.8657835183896
29.478124514903286,11.912158115475712,21.060991547601496,61.8657835183896
14.55009992081765,16.681993639949134,21.060991547601496,61.8657835183896
509.7529077608203,1270.5579625016892,176.83908967274382,74.5595412014181
1003.0621733358076,1405.1826583165607,176.83908967274382,74.5595412014181
345.3164859024912,986.3502713369601,176.83908967274382,74.5595412014181
263.0982749733266,799.3715271496383,176.83908967274382,74.5595412014181
176.15429998099077,91.22110552794969,57.34947100861583,47.63007050874766
276.8138999701284,51.84907821801397,57.34947100861583,47.63007050874766
251.648999972844,67.93061049953701,57.34947100861583,47.63007050874766
98.98193998931863,76.34106703757492,57.34947100861583,47.63007050874766
246.31095306059433,168.81809856003113,116.48822926716495,39.921234611838
1183.6609688745227,129.4041934769973,116.48822926716495,39.921234611838
766.3007428551824,280.3278037438553,116.48822926716495,39.921234611838
649.987237243235,284.24042497837553,116.48822926716495,39.921234611838
768.2900748031475,109.9948834327397,112.92116745237418,27.384581663034666
421.4924715933935,131.6605422907036,112.92116745237418,27.384581663034666
917.6798115704262,64.49699983101556,112.92116745237418,27.384581663034666
458.8399057852131,134.96594409082886,112.92116745237418,27.384581663034666
220.8698456095923,33.57197680371975,58.08943263407254,30.186056732365888
189.31701052250767,40.39704901106937,58.08943263407254,30.186056732365888
154.75914352236737,43.42748647765317,58.08943263407254,30.186056732365888
